к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Рекомендации локомотивной бригаде по обнаружению и устранению неисправностей на тепловозах ТЭП70;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
Системы тепловоза;;;
1;Стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении;Попадание воздуха в топливную систему;При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и открыть пробку на фильтре тонкой очистки топлива и выпустить воздух
2;Топливный насос (на дизеле) и топливоподкачивающий (электрический) насос не создают нормального давления при низкой температуре наружного воздуха;Низкая температура топлива;Проверить работу и включение топливоподогревателя
3;Нет давления топлива;Вышел из строя топливный насос (на дизеле);"Включить тумблер ""Резервный топливный насос"""
4;Снижение уровня воды в расширительном баке;Утечка воды из системы;Немедленно снять нагрузку и остановить дизель, найти место утечки и попытаться устранить течь. Дальнейшая эксплуатация допустима после дозаправки системы до необходимого уровня
5;Недостаточное количество масла (ниже риски маслоуказателя);Утечка масла из системы;Попытаться устранить утечку масла. Долить в картер масло до необходимого уровня
6;Выход из строя одного из круга гидросистемы;Неисправность гидромашины;"1. Перекрыть воздушный краник к терморегулятору неисправного.
круга и отвернуть воздушный штуцер от этого регулятора.
2. Боковые жалюзи данного круга открыть и поставить на защелку (жалюзи открыть на полный фронт).
3. Закрыть верхние жалюзи неисправного контура (поставить этот тумблер в среднее положение).
4. Закрыть все рециркулярные лючки и лючки со стороны дизеля второго контура.
5. Смотровые люки шахт открыть и положить их, чтобы они не мешали проходу воздуха.
6. Объединить оба контура, открыв вентили 46 и 12.
7. Перевести забор воздуха ЦВС и ДВС из дизельного помещения, перед тем убрать обтирочный материал из дизельного помещения.
8. При необходимости вилкой на исправном терморегуляторе отрегулировать нужное давление в системе.
9. Перейти на аварийное возбуждение и искусственно за счет ввода сопротивлений уменьшить мощность тепловоза.
10. На таком же режиме возможно ведение поезда до станции смены локомотивных бригад."
7;Не включаются контакторы КВГ, КВВ;"Нарушены контакты блокировок защиты.
Неисправны катушки поездных контакторов КП1-КП6.";"1. Проверить состояние аппаратов защиты.
2. Отключить соответствующий поездной контактор выключателями ОМ1-ОМ6.
3. Проверить предохранитель ПР1 (250А).
4. Переставить фишку БВГ на запасную.
5. Проверить положение ТП (тормозной переключатель).
6. Проверить контакты КВВ, КВГ.
Если контакты КВВ, КВГ, РВ2, КП1-6 замкнуты, переходим на аварийное возбуждение."
Компрессор;;;
8;Не включается компрессор;"Неисправность РДК, контактов
КБ-1.";"Признаки этих неисправностей:
При давлении воздуха 7 кгс/см2 РУ-18 должно быть включено, если давление воздуха 9 кгс/см2, то РУ-18 должно быть выключено.
Управление из кабины N 1:
1. Отсоединить фишку от РДК (стоит слева от бачка воздухоосушки);
2. Поставить перемычку в ВВК на главные рейки с клеммы 7/10 на клемму 4/17.
Управление из кабины N 2:
Тоже самое, только перемычку в ВВК ставить с клеммы 7/21 на клемму 4/17. Включением автомата ""Вентиляции"" будем руководить работой компрессора."
Холодильник дизеля;;;
9;"Снимается нагрузка, загорается сигнальная лампа ""Сброс нагрузки"". Сработали термореле воды и масла.";"Перегрев воды охлаждения дизеля или масла.
Не открываются жалюзи.
Неисправность термореле.";Проверить работу вентиляторов и жалюзи холодильника. Перейти на ручное управление
;Резко повышается температура воды или масла дизеля;;
10;Повышенная вибрация трубопровода гидропривода;В системе гидропривода остался воздух после ее заправки маслом.;Запустить дизель на холостых оборотах 15-20 мин. до полного удаления воздуха из системы.
Вентилятор ЦВС;;;
11;Нет давления масла по манометру;Недостаточный уровень масла в картере редуктора.;Долить масло. Контроль уровня производить по масломерному щупу.
Пуск дизеля;;;
12;"При нажатии кнопки ""Пуск дизеля"" реле РУ8 включается, но при освобождении кнопки реле отключается";Нарушен замыкающий контакт реле РУ8 между проводами 1037 и 1038.;"Произвести пуск дизеля не отпуская кнопки ""Пуск дизеля""."
Работа дизеля;;;
13;Неустойчивая работа дизеля на холостом ходу;Тугой ход привода к топливным насосам.;Проверить легкость перемещения привода.
;;Завышенный уровень масла в регуляторе.;Слить излишек масла через сливную пробку регулятора.
14;Большой ток заряда батареи при нормальном напряжении стартер- генератора;"Короткое замыкание в аккумуляторной батарее (резистор RЗБ сильно нагрет).
Закорочен резистор RЗБ.";Отключить выключатель батареи ВКБ. Цепи управления и возбуждения будут получать питание от стартера-генератора (дизель не останавливать).
15;Под нагрузкой в зависимости от позиции контроллера падает давление топлива до 0, на борту 1 кгс/см2. Дизель начинает глохнуть. При сбросе позиций давление топлива возрастает, и дизель выходит на холостые обороты;Пропуск выхлопных газов в топливную систему.;"1. Путем прощупывания отсечных трубок. Если пропуск газов по трубке есть, то она очень горячая. Нужно отключить подачу топлива к данному цилиндру.
2. Отвернуть немного гайку от отсечной трубки, и если, место топлива будут выходить выхлопные газы, то это говорит о неисправности данной форсунки. Подачу топлива к данной форсунке отключить и заглушить отсечную трубку."
Трогание и движение тепловоза;;;
16;Не включаются контакторы КВГ, КВВ.;Нарушены контакты блокировок защиты.;Проверить состояние аппаратов защиты.
;;Неисправны катушки поездных контакторов КП1-КП6.;Отключить соответствующий поездной контактор выключателями ОМ1-ОМ6.
17;"Сброс нагрузки. На пульте управления загорается сигнальная лампа ""Сброс нагрузки""";"Пробой на корпус силовой цепи (включилось реле заземления РЗ), на передней стенке ВВК загорается сигнальная лампа ""Земля силовой цепи"".";"Отключить выключатель реле заземления ВкР32 и нажать выключатель кнопочный ""Отпуск реле заземления"". Установить контроллер на 1 позицию и продолжить движение. Если реле повторно не включается, то место нарушения изоляции находится в ""минусе"" силовых цепей. Если неисправность обнаружить не удалось, продолжить движение с выключенным ВкР32. Если реле заземления снова срабатывает, то место замыкания на корпус находится в ""плюсе"" силовых цепей. Выключить отключатели тяговых электродвигателей ОМ1-ОМ6 и установить контроллер машиниста на более высокие позиции. Если реле заземления не включается, то место замыкания на корпус находится в плюсовых цепях питания тяговых электродвигателей. Включить отключатели ОМ1-ОМ6 и затем, поочередно выключая их, определить и отключить неисправный тяговый электродвигатель. После этого можно продолжить движение. Выключатель ВкР32 и соответствующий тумблер ОМ1-ОМ6 должны быть выключены. Если реле заземления включается и после выключения всех тумблеров ОМ1-ОМ6, то место замыкания на корпус находится в ""плюсе"" силовых цепей между выпрямительной установкой, поездными контакторами или в тормозных резисторах. Осмотреть выпрямительную установку, провода, шины, тормозные резисторы. Если повреждение не обнаружено, отключить выключатель реле заземления ВкР31 и продолжить движение. Но следует помнить, что такой режим является аварийным. При движении следить за состоянием электрооборудования. Включение электрического тормоза блокируется контактом ВкР31 в схеме управления. Контроллер поставить на нулевую позицию, выключить автоматический выключатель ""Управление общее"". Выяснить причину неисправности и попытаться устранить её."
;;Сработало реле РМ1 (защита от максимального тока тягового режима).;Уменьшением позиций контроллера уменьшить ток ГГ.
18;"Происходит сброс нагрузки при переводе рукоятки контроллера с 11-й на 12-ю позицию. Загорается сигнальная лампа ""Сброс нагрузки"" на пульте управления";"Давление масла дизеля 3 кгс/см2 или ниже.
Нарушена регулировка реле давления масла РДМ2 (давление масла более 3 кгс/см2).
Неисправность РДМ2.";"Проверить температуру масла, работу холодильника, положение вентилей и Если не удалось довести давление масла до нормального, движение тепловоза продолжить на 11-й позиции рукоятки контроллера (давление масла контролировать по электроманометру)
."
19;Значительная просадка частоты вращения коленчатого вала дизеля (с появлением черного дыма на выхлопе);Заклинивание якоря индуктивного датчика на максимальном режиме.;Отключить индуктивный датчик.
20;Сброс нагрузки из-за неисправности тягового двигателя;Электрическая неисправность тягового двигателя.;Поочередно выключая отключатели тяговых электродвигателей ОМ1-ОМ6, определить и отключить неисправный тяговый электродвигатель.
21;Выход из строя схемы возбуждения тягового генератора;Выход из строя одного или нескольких элементов системы автоматического регулирования возбуждения тягового генератора.;"Переключатель ПВА установить в положение ""Аварийное возбуждение""."
22;Нарушение нормальной работы схемы автоматического управления ослабления поля тяговых двигателей;Неисправность РП или КШ.;Перейти на аварийное возбуждение. Для управление контакторами КШ1 и КШ2 в ручном режиме производить тумблерами Тб1 и Тб2.
23;Тепловоз не приходит в движение;Нет цепи в КБ1,КБ2.;Восстановить повторным переключением.
;;Не включен АВ-Управление тепловозом.;Включить автомат.
;;Срабатывание РУ-3 перегрев дизеля.;Охладить воду, масло
;;"Лампа ""Сброс нагрузки"" загорается и гаснет.";"Перейти на ""Аварийное возбуждение"""
;;Проверить предохранитель ПР-1.;При необходимости сменить предохранитель.
24;Сброс нагрузки с 12-позиции;Срабатывание РУ-2 мало давление масла в системе дизеля;"Проверить уровень масла в картере дизеля.
Следовать на 11-ой и ниже позициях."
;;;
